Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Hour,Date,Time
 Enjoying a beautiful day at the park!              ,Positive,User123,Twitter,#Nature #Park,15.0,30.0,Usa,12,2023-01-15,12:30:00
 Traffic was terrible this morning.                 ,Negative,Commuterx,Twitter,#Traffic #Morning,5.0,10.0,Canada,8,2023-01-15,08:45:00
 Just finished an amazing workout! 💪               ,Positive,Fitnessfan,Instagram,#Fitness #Workout,20.0,40.0,Usa,15,2023-01-15,15:45:00
 Excited about the upcoming weekend getaway!        ,Positive,Adventurex,Facebook,#Travel #Adventure,8.0,15.0,Uk,18,2023-01-15,18:20:00
 Trying out a new recipe for dinner tonight.        ,Neutral,Chefcook,Instagram,#Cooking #Food,12.0,25.0,Australia,19,2023-01-15,19:55:00
 Feeling grateful for the little things in life.    ,Positive,Gratitudenow,Twitter,#Gratitude #Positivevibes,25.0,50.0,India,9,2023-01-16,09:10:00
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,Rainydays,Facebook,#Rainydays #Cozy,10.0,20.0,Canada,14,2023-01-16,14:45:00
 The new movie release is a must-watch!             ,Positive,Moviebuff,Instagram,#Movienight #Mustwatch,15.0,30.0,Usa,19,2023-01-16,19:30:00
 Political discussions heating up on the timeline.  ,Negative,Debatetalk,Twitter,#Politics #Debate,30.0,60.0,Usa,8,2023-01-17,08:00:00
 Missing summer vibes and beach days.               ,Neutral,Beachlover,Facebook,#Summer #Beachdays,18.0,35.0,Australia,12,2023-01-17,12:20:00
 Just published a new blog post. Check it out!      ,Positive,Bloggerx,Instagram,#Blogging #Newpost,22.0,45.0,Usa,15,2023-01-17,15:15:00
 Feeling a bit under the weather today.             ,Negative,Wellnesscheck,Twitter,#Sickday #Health,7.0,15.0,Canada,10,2023-01-18,10:30:00
 Exploring the city's hidden gems.                  ,Positive,Urbanexplorer,Facebook,#Cityexplore #Hiddengems,12.0,25.0,Uk,14,2023-01-18,14:50:00
" New year, new fitness goals! 💪                    ",Positive,Fitjourney,Instagram,#Newyear #Fitnessgoals,28.0,55.0,Usa,18,2023-01-18,18:00:00
 Technology is changing the way we live.            ,Neutral,Techenthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,9,2023-01-19,09:45:00
 Reflecting on the past and looking ahead.          ,Positive,Reflections,Facebook,#Reflection #Future,20.0,40.0,Usa,13,2023-01-19,13:20:00
